method, 2:1.25, 2:1.50, 2:1.75, 2:2.0, 3:1.25, 3:1.50, 3:1.75, 3:2.0, 4:1.25, 4:1.50, 4:1.75, 4:2.0
shape_dtw_psed,0.98 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,0.92 0.98 1.00 1.00,0.94 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.96 1.00 1.00 1.00,0.80 0.92 0.98 1.00,0.84 0.96 0.98 0.98,0.90 1.00 1.00 1.00,0.88 0.98 0.98 0.98
twe_psed,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,0.98 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00,1.00 1.00 1.00 1.00
wddtw_psed,0.74 0.96 0.98 0.98,0.64 0.90 0.92 0.98,0.86 0.96 0.98 1.00,0.66 0.80 0.92 0.98,0.76 0.90 0.96 0.98,0.80 0.90 0.96 0.98,0.70 0.94 0.98 0.98,0.62 0.86 0.94 0.96,0.78 0.82 0.96 0.98,0.66 0.84 0.92 0.96,0.56 0.88 0.96 0.98,0.62 0.80 0.94 0.94
wdtw_psed,0.86 1.00 1.00 1.00,0.92 1.00 1.00 1.00,0.94 1.00 1.00 1.00,0.98 1.00 1.00 1.00,0.82 0.96 1.00 1.00,0.88 1.00 1.00 1.00,0.90 1.00 1.00 1.00,0.88 0.96 1.00 1.00,0.74 0.88 0.90 0.96,0.72 0.86 0.98 0.98,0.74 0.96 0.98 1.00,0.66 0.90 0.96 0.98
psdtw,0.86 1.00 1.00 1.00 (615.3426630496979 32540659.0),0.96 1.00 1.00 1.00 (8077.524085283279 274994784.0),0.94 1.00 1.00 1.00 (30334.72380042076 880764560.0),0.96 1.00 1.00 1.00 (34813.23771739006 1513184734.0),0.88 0.96 1.00 1.00 (587.4239270687103 41310923.0),0.86 0.96 1.00 1.00 (10265.93151974678 664255610.0),0.88 0.98 1.00 1.00 (19787.00118780136 2056565223.0),0.86 0.98 1.00 1.00 (43714.620336294174 4054178881.0),0.72 0.88 0.92 0.96 (476.0069043636322 57731720.0),0.72 0.82 0.98 0.98 (4988.385257959366 622474506.0),0.80 0.94 0.98 1.00 (19799.29971075058 2113327505.0),0.64 0.88 0.92 0.94 (31406.01674103737 5080772940.0)
psdtw (lb_shen),0.84 1.00 1.00 1.00 (384.10391545295715 20321402.0),0.96 1.00 1.00 1.00 (4735.816817998886 208339178.0),0.94 1.00 1.00 1.00 (22524.8298227787 761803880.0),0.96 1.00 1.00 1.00 (33017.17446565628 1387359653.0),0.88 0.96 1.00 1.00 (587.4239270687103 41310923.0),0.86 0.96 1.00 1.00 (7213.540150403976 524164035.0),0.88 0.98 1.00 1.00 (17710.074993610382 1852124599.0),0.86 0.98 1.00 1.00 (40527.23854446411 3732195703.0),0.72 0.88 0.92 0.96 (301.5577447414398 36564793.0),0.72 0.82 0.98 0.98 (4655.329065799713 498933169.0),0.80 0.94 0.98 1.00 (11136.753507375717 1843568583.0),0.64 0.88 0.92 0.94 (28865.11859869957 4518555768.0)
squared_psdtw,0.70 0.92 0.92 0.96,0.50 0.88 0.90 0.96,0.46 0.78 0.86 0.90,0.44 0.76 0.88 0.92,0.66 0.88 0.94 0.96,0.54 0.82 0.92 0.96,0.48 0.74 0.88 0.90,0.46 0.74 0.92 0.94,0.66 0.94 0.94 0.96,0.56 0.74 0.88 0.96,0.40 0.72 0.84 0.90,0.34 0.60 0.74 0.86
adtw_psdtw,0.72 0.92 0.96 0.96,0.58 0.92 0.94 1.00,0.56 0.80 0.92 0.94,0.48 0.86 0.94 0.96,0.72 0.92 0.96 0.98,0.54 0.88 0.94 0.98,0.64 0.76 0.90 0.92,0.66 0.90 0.98 0.98,0.70 0.94 1.00 1.00,0.62 0.82 0.94 0.98,0.52 0.82 0.92 0.94,0.42 0.72 0.84 0.90
ddtw_psdtw,0.56 0.82 0.90 0.92,0.52 0.84 0.94 0.98,0.56 0.82 0.90 0.98,0.40 0.76 0.88 0.94,0.68 0.96 1.00 1.00,0.46 0.82 0.94 1.00,0.60 0.86 0.94 0.96,0.54 0.84 0.92 0.98,0.74 0.88 0.98 1.00,0.58 0.80 0.90 0.94,0.54 0.78 0.86 0.92,0.54 0.70 0.88 0.96
erp_psdtw,0.98 0.98 1.00 1.00,0.94 1.00 1.00 1.00,0.90 0.94 1.00 1.00,0.90 0.96 1.00 1.00,0.86 1.00 1.00 1.00,0.88 0.98 1.00 1.00,0.84 0.96 0.98 1.00,0.86 0.98 1.00 1.00,0.86 1.00 1.00 1.00,0.88 1.00 1.00 1.00,0.86 0.98 0.98 1.00,0.74 0.88 0.98 1.00
